epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,121.546,0.69777,0.74326,0.58622,1.10357,0.93584,0.87526,0.92409,0.79612,0.94029,0.87883,0.93445,0.74571,0.66477,0.63017,0.60929,0.93588,0.000755,0.000755,0.000755
42,124.443,0.70705,0.71187,0.5976,1.11802,0.9597,0.88007,0.93511,0.80878,0.95671,0.88391,0.94346,0.73254,0.64606,0.64215,0.56371,0.92749,0.000742625,0.000742625,0.000742625
43,127.376,0.64239,0.69602,0.55432,1.0636,0.94419,0.90458,0.93957,0.84017,0.95043,0.91021,0.948,0.75965,0.558,0.61416,0.48265,0.88541,0.00073025,0.00073025,0.00073025
44,130.257,0.6676,0.71973,0.59583,1.09466,0.9462,0.8799,0.93351,0.82898,0.95519,0.8873,0.94274,0.77161,0.54447,0.58711,0.46462,0.84416,0.000717875,0.000717875,0.000717875
45,133.149,0.66929,0.73624,0.57936,1.09415,0.96164,0.85522,0.93025,0.82848,0.96253,0.86893,0.94189,0.76324,0.56341,0.67759,0.50361,0.86326,0.0007055,0.0007055,0.0007055
46,136.104,0.67271,0.71149,0.57822,1.09379,0.95621,0.86676,0.93558,0.83081,0.9584,0.86855,0.94433,0.75706,0.59459,0.69936,0.54941,0.90176,0.000693125,0.000693125,0.000693125
47,139.119,0.65911,0.71688,0.57085,1.08689,0.96501,0.88026,0.93725,0.83606,0.95259,0.89434,0.94499,0.74749,0.58106,0.66944,0.50349,0.89477,0.00068075,0.00068075,0.00068075
48,141.977,0.63394,0.68653,0.57363,1.05372,0.89484,0.91966,0.93602,0.83421,0.90101,0.9249,0.94212,0.75362,0.51313,0.58661,0.45328,0.8209,0.000668375,0.000668375,0.000668375
49,145.044,0.6657,0.71102,0.57026,1.09062,0.9256,0.90514,0.93079,0.83253,0.92467,0.9113,0.94439,0.74451,0.57439,0.57996,0.48076,0.91259,0.000656,0.000656,0.000656
50,147.966,0.64213,0.72486,0.55473,1.06618,0.96865,0.87728,0.92876,0.83126,0.96841,0.87906,0.93963,0.75038,0.55011,0.56445,0.48109,0.89039,0.000643625,0.000643625,0.000643625
51,150.867,0.6427,0.68423,0.57692,1.07168,0.97559,0.90111,0.93608,0.83691,0.97936,0.90545,0.9435,0.76729,0.52957,0.54362,0.50228,0.85703,0.00063125,0.00063125,0.00063125
52,153.851,0.62524,0.67957,0.55402,1.0651,0.96844,0.90286,0.93774,0.8478,0.97069,0.90465,0.943,0.77764,0.49322,0.56666,0.46218,0.83373,0.000618875,0.000618875,0.000618875
53,156.827,0.64205,0.76095,0.5809,1.05822,0.9334,0.91021,0.93796,0.86159,0.93559,0.91188,0.94195,0.79357,0.47296,0.54809,0.42566,0.8221,0.0006065,0.0006065,0.0006065
