Image Index,Preprocess Time (ms),Inference Time (ms),Postprocess Time (ms),Filtering Time (ms),Line Count,Barrel Count,Traffic Count,Grass Count
77,0.8267800149042159,8.628866984508932,1.1760630004573613,4.047393798828125,2,1,0,3
78,0.8161499863490462,8.786767983110622,1.237269985722378,3.752470016479492,2,1,0,3
79,1.0927960101980716,8.736421004869044,1.1781979992520064,3.7131309509277344,2,1,0,3
80,0.7116819906514138,9.193359990604222,1.1841090163215995,4.073143005371094,2,1,0,3
81,1.0622369882185012,8.555186999728903,1.1897300137206912,3.6478042602539062,2,1,0,3
82,0.7953500025905669,8.610923017840832,1.1753829894587398,3.732919692993164,2,1,0,3
83,0.8218610018957406,8.117015997413546,1.437339000403881,3.622293472290039,2,1,0,3
84,1.0948689887300134,8.39093598187901,1.1871450114995241,3.8433074951171875,2,1,0,3
85,0.8206280181184411,8.651670999825,1.180452003609389,3.7038326263427734,2,1,0,3
86,1.0165100102312863,8.2420929975342,1.2976239959243685,3.7131309509277344,2,1,0,3
87,1.0779070144053549,8.184483973309398,1.2351360055617988,3.826141357421875,2,1,0,3
88,1.0399250022601336,8.622093999292701,1.1636999843176454,3.7086009979248047,2,1,0,3
89,0.8279920148197562,8.438555989414454,1.336639019427821,3.702402114868164,2,1,0,3
90,0.8220009913202375,8.646822010632604,1.310107996687293,3.643035888671875,2,1,0,3
91,1.076052983989939,8.715411997400224,1.1750810081139207,4.020452499389648,2,1,0,3
92,0.856525992276147,8.645830006571487,1.2310780002735555,3.9429664611816406,2,1,0,3
93,1.0653130011633039,8.81461999961175,1.1730080004781485,3.6928653717041016,2,1,0,3
94,0.8136759861372411,8.426051994320005,1.1869639856740832,3.8111209869384766,2,1,0,3
95,0.7979049987625331,8.465667022392154,1.3104389945510775,3.693103790283203,2,1,0,3
96,0.6974139832891524,8.89038501190953,1.4236130227800459,3.673076629638672,2,1,0,3
97,0.8155690156854689,8.571498998207971,1.1689999955706298,3.772735595703125,2,1,0,3
98,0.8298660104628652,8.312757010571659,1.3050390116404742,3.735780715942383,2,1,0,3
99,0.8470390166621655,8.278051012894139,1.1806619877461344,3.756284713745117,2,1,0,3
100,0.8242650073952973,8.310794015415013,1.1925450235139579,3.8132667541503906,2,1,0,3
101,0.8296259911730886,9.626170998672023,1.2022129958495498,3.8862228393554688,2,1,0,3
102,0.8666059875395149,7.971660001203418,1.6755620017647743,3.696918487548828,2,1,0,3
103,0.8466780127491802,8.640889980597422,1.192594994790852,3.72314453125,2,1,0,3
104,0.8274520223494619,8.41332899290137,1.197814999613911,3.7708282470703125,2,1,0,3
105,0.8157789998222142,8.60476100933738,1.2347449955996126,3.6652088165283203,2,0,0,3
106,1.0516270122025162,8.939327002735808,1.1771959834732115,3.7386417388916016,2,0,0,3
107,0.7130939920898527,8.404632011661306,1.7403060046490282,3.6580562591552734,2,0,0,3
108,0.8295649895444512,8.632505021523684,1.1664250050671399,3.7212371826171875,2,0,0,3
109,0.8217910071834922,8.86528700357303,1.1751520214602351,3.8118362426757812,2,1,0,3
110,0.8284140203613788,8.025852992432192,1.3727369951084256,3.7250518798828125,2,1,0,3
111,0.7984759868122637,8.642122993478552,1.1824359826277941,3.687143325805664,2,0,0,3
112,0.7157500076573342,9.091095998883247,1.29647200810723,3.735065460205078,2,0,0,3
113,0.6976449803914875,8.724178012926131,1.178027014248073,3.726959228515625,2,0,0,3
114,0.7958709902595729,8.63515998935327,1.1715450091287494,3.6554336547851562,2,0,0,3
115,0.833133002743125,8.390644972678274,1.2827159953303635,3.4584999084472656,2,0,0,3
116,0.823152979137376,8.034438011236489,1.2739899975713342,3.9215087890625,2,2,0,3
117,0.928644003579393,9.315581992268562,1.2158890021964908,3.77655029296875,2,2,0,3
118,1.0203180136159062,8.030541008338332,1.194419019157067,4.046201705932617,2,1,0,3
119,0.8272810082416981,8.664244989631698,1.1714050197042525,3.7353038787841797,2,0,0,3
120,0.8272000122815371,8.389812981477007,1.19778499356471,3.655672073364258,2,1,0,3
121,0.8362380031030625,8.781797980191186,1.222671999130398,3.646373748779297,2,2,0,3
122,1.1618959833867848,8.477460010908544,1.4883959956932813,3.83758544921875,2,2,0,3
123,0.6986570078879595,8.586147014284506,1.1985659948550165,3.918170928955078,2,2,0,3
124,0.8178429852705449,8.865216979756951,1.1743610084522516,3.8750171661376953,2,1,0,3
125,0.8474100031889975,8.653714990941808,1.193186006275937,3.8886070251464844,2,1,0,3
126,0.8676080033183098,8.026043011341244,2.062657003989443,4.024028778076172,2,2,0,4
127,0.7991080055944622,8.934727986343205,1.2436419783625752,4.101276397705078,2,2,0,4
128,0.7891390123404562,9.254825999960303,1.3053499860689044,3.7577152252197266,2,2,0,3
129,1.087173994164914,8.632003999082372,1.2212200090289116,3.8537979125976562,2,2,0,3
130,0.8103190048132092,8.641641004942358,1.353139989078045,4.173040390014648,2,2,0,5
131,0.8141160069499165,8.619880012702197,1.2091259995941073,4.071712493896484,2,2,0,4
132,0.8325209782924503,8.007447991985828,1.7940969846677035,3.9284229278564453,2,2,0,5
133,0.8372899901587516,8.23454899364151,1.2185449886601418,3.837108612060547,2,2,0,4
134,1.1074730136897415,9.31629299884662,1.2278719805181026,3.886699676513672,2,2,0,4
135,0.8368899871129543,8.654737001052126,1.2240849900990725,4.149436950683594,2,2,0,4
136,0.8164410246536136,8.655868994537741,1.2224520032759756,4.085302352905273,2,2,0,4
137,0.7990869926288724,8.6501780024264,1.2191849818918854,4.405498504638672,2,2,0,4
138,0.8362680091522634,8.025011018617079,1.2180630001239479,4.019737243652344,2,2,0,4
139,1.0272309882566333,8.227604994317517,1.2312179896980524,3.8962364196777344,2,2,0,4
140,1.1390729923732579,8.862702001351863,1.2289640144445002,3.9322376251220703,2,2,0,4
141,0.8108799811452627,8.383661974221468,1.363799994578585,4.149913787841797,2,2,0,5
142,0.8407869900111109,8.317846979480237,1.4896889915689826,3.79180908203125,2,2,0,5
143,0.8858620130922645,8.642342989332974,1.2440930004231632,4.747867584228516,2,2,0,5
144,0.8303170034196228,8.822675998089835,1.2228020059410483,4.010200500488281,2,2,0,5
145,1.122151006711647,8.449006010778248,1.6347249911632389,4.501581192016602,2,2,0,5
146,1.057098008459434,8.465767983580008,1.4419190119951963,3.9649009704589844,2,2,0,6
147,0.9386320016346872,8.806886005913839,1.233502000104636,4.024267196655273,2,2,0,5
148,0.7899109914433211,8.740890014450997,1.259811979252845,3.8166046142578125,2,1,0,4
149,0.8673779957462102,8.673611999256536,1.8888780032284558,3.9975643157958984,2,1,0,4
150,1.068418991053477,8.589032018790022,1.14902199129574,3.9348602294921875,2,1,0,4
151,0.8008109871298075,8.034047990804538,1.159892010036856,3.850221633911133,2,1,0,4
152,1.0452449787408113,8.614188991487026,1.1600229772739112,3.893136978149414,2,1,0,4
153,0.9617669857107103,9.070094994967803,1.4094969956204295,4.282712936401367,2,1,0,4
154,0.8067219750955701,8.018888998776674,1.2160690093878657,3.774404525756836,2,1,0,3
